GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
my-app,com.example,TemperatureConverter,3,32,0,4,1,4,1,6,1,4
my-app,com.example,Main,54,0,0,0,6,0,2,0,2,0
